iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10,0.1048097237944603
1000,-1.0,2.0,9,0.08683084696531296
1500,-1.0,2.0,8,0.047684215009212494
2000,-1.0,2.0,8,0.04605352506041527
2500,-0.89,2.11,9,0.03270226716995239
3000,-0.9,2.1,10,0.014381617307662964
3500,-0.88,2.12,8,0.03712969273328781
4000,-1.0,2.0,8,0.00829556118696928
4500,-0.75,2.25,8,0.030289150774478912
5000,-1.0,2.0,8,0.020350411534309387
5500,-0.64,2.0,11,0.0327300988137722
6000,-1.0,2.0,8,0.020171307027339935
6500,-0.12,2.0,8,0.012442482635378838
7000,-0.12,2.12,8,0.025193223729729652
7500,0.0,2.0,8,0.007176485378295183
8000,-0.75,2.25,8,0.014277712441980839
8500,-0.44,2.0,9,0.003884656820446253
9000,0.0,2.0,8,0.014060663059353828
9500,-0.12,2.12,8,0.01589527539908886
10000,-0.38,2.12,8,0.006952053401619196
10500,-0.12,2.0,8,0.020616130903363228
11000,-0.12,2.12,8,0.012715174816548824
11500,0.12,2.12,8,0.003043928649276495
12000,-0.25,2.0,8,0.006106853019446135
12500,-0.25,2.0,8,0.012675943784415722
13000,-0.25,2.0,8,0.023514296859502792
13500,0.0,2.0,8,0.02069888636469841
14000,-0.25,2.0,8,0.012351224198937416
14500,0.25,2.25,8,0.0017881622770801187
15000,0.12,2.25,8,0.002147001214325428
15500,-0.11,2.11,9,0.0012069825315847993
16000,0.0,2.0,8,0.009857344441115856
16500,0.0,2.12,8,0.009343128651380539
17000,-0.12,2.0,8,0.017575208097696304
17500,0.0,2.12,8,0.013375777751207352
18000,-0.12,2.0,8,0.0010435647564008832
18500,0.12,2.12,8,0.009092213585972786
19000,0.12,2.12,8,0.007140323054045439
19500,0.12,2.38,8,0.002947547473013401
20000,0.38,2.38,8,0.0007572981994599104
20500,0.12,2.25,8,0.008677990175783634
21000,0.11,2.33,9,0.017079703509807587
21500,0.33,2.67,9,0.0012956735445186496
22000,0.0,2.25,8,0.01654190942645073
22500,-0.11,2.44,9,0.013954509980976582
23000,0.38,2.5,8,0.00771967601031065
23500,0.44,2.67,9,0.00797215849161148
24000,0.0,2.0,8,0.011535207740962505
24500,-0.12,2.12,8,0.024806665256619453
25000,0.5,3.0,12,0.0019762578886002302
25500,0.0,2.12,8,0.013100937940180302
26000,0.38,2.38,8,0.00223369849845767
26500,0.25,2.25,8,0.010311594232916832
27000,0.38,2.38,8,0.001972259022295475
27500,0.0,2.44,9,0.011988021433353424
28000,0.33,2.56,9,0.0037686540745198727
28500,0.38,2.5,8,0.00548778148368001
29000,0.4,3.0,10,0.017454365268349648
29500,0.0,2.25,8,0.01762937195599079
30000,0.0,2.12,8,0.014087243936955929
30500,0.25,2.25,8,0.015474741347134113
31000,0.22,2.44,9,0.02186150848865509
31500,0.62,2.75,8,0.018906185403466225
32000,0.5,2.62,8,0.014245427213609219
32500,0.4,2.9,10,0.04174447059631348
33000,0.25,2.25,8,0.01129874773323536
33500,-0.12,2.12,8,0.02804028056561947
34000,0.38,2.38,8,0.01679954305291176
34500,0.62,2.75,8,0.009372345171868801
35000,0.12,2.12,8,0.015196181833744049
35500,0.62,3.08,13,0.009934457018971443
36000,0.64,3.09,11,0.0035451764706522226
36500,0.12,2.25,8,0.010310964658856392
37000,0.38,2.62,8,0.005412625148892403
37500,0.38,2.5,8,0.009681778959929943
38000,0.12,2.12,8,0.023542135953903198
38500,0.44,2.78,9,0.028331346809864044
39000,0.25,2.25,8,0.007085230201482773
39500,0.33,2.56,9,0.04645420238375664
40000,0.25,2.25,8,0.012153452262282372
